question,label
what is the college timing,timing
when does college open,timing
college start time,timing
when do classes begin,timing
where is cse block,location
where is ece block,location
where is cse building,location
where is ece building,location
location of library,location
how to reach lab 352,location
library timing ,library
when is library open,library
library closing time,library
can i study in library at night,library
what is fees structure,fees
how much is tuition fee,fees
semester fees,fees
hostel fees amount,fees
mess fees,fees
is hostel available,hostel
hostel facilities,hostel
hostel rooms details,hostel
how to apply for hostel,hostel
hostel rooms details,hostel
hostel security,hostel
hostel bed details,placement
placement,placement
placement statistics,placement
companies visiting campus,placement
average package,placement
placement percentage,placement
highest package,placement
top recruiters,placement
admission process,admission
how to apply for college,admission
eligibility criteria,admission
admission last date,admission
admission documents,admission
who is cse hod,faculty
cse hod,faculty
who is ece hod,faculty
ece hod,faculty
who is eee hod,faculty
eee hod,faculty
who is mca hod ,faculty
mca hod,faculty
faculty details,faculty
list of professors,faculty
contact teacher,faculty
hod chamber,location
when does class open,timing
where is room 352,location
how to reach computer science,location
how can i find computer lab,location
where is computer lab,location
where is cse lab,location
where is ece lab,location
ece lab location,location
graphics lab,location
workshop location,location
workbench location,location
where is eee lab,location
how to reach info cell,location
where dean sits,location
where can i find dean student affairs,location
who is fic food court,faculty
girls hostel fic,faculty
boys hostel fic,faculty
who is dean student affairs,faculty
where is placement cell,location
fic placement cell,location
where is skylab,location
skylab location,location
non veg canteen location,location
where is non veg canteen,location
veg canteen location,location
where is veg canteen,location
cafeteria location,location
where is cafeteria,location
incharge of food court,faculty
incharge of boys hostel,faculty
incharge of girls hostel,faculty
lt1 which building,location
lt2 which building,location
where is lt1,location
where is lt2,location
th1 location,location
th2 location,location
where is th1,location
where is th2,location
auditorium which building,location
auditorium which location,location
where is auditorium,location
graphics lab which buidling,location
when does college close,timing
mess closing time ,timing
canteen closing time,timing
when do lectures end ,timing
college daily schedule ,timing
canteen schedule,timing
mess schedule,timing
college hours ,timing
is library open today,timing
library working hours,timing
can i study in library at evening,timing
library schedule,timing
college cost details,fees
per semester fees,fees
fees for cse course,fees
fees for mca,fees
fees for imca,fees
fees for per semester,fees
how to get hostel,hostel
hostel rules and regulations,hostel
ac room available,hostel
non ac room available,hostel
non ac room double bed available,hostel
ac room double bed available,hostel
job placement stats,placement
companies in placement,placement
placement record,placement
placement opportunities,placement
campus placement info,placement
steps for admission,admission
admission application process,admission
cse faculty list,faculty
ece faculty details,faculty
ece faculty lists,faculty
faculty contact details ,faculty
cse faculty details,faculty
who teaches graphics lab,faculty
who takes graphics lab,faculty
what time do labs start,timing
when does the second shift begin,timing
what are weekend class timings,timing
when do practical exams start,timing
what time does the library close on holidays,timing
when is the next semester starting,timing
how long is each lecture timing,timing
when do internal exams happen,timing
when are results usually declared,timing
what time does the canteen open,timing
where is the printing section,location
how to reach the placement cell,location
